document_count,occurrence_count,files,chars,text
5,5,"35.txt,56.txt,67.txt,86.txt,94.txt",1344,"Viêm hang vị sung huyết là tình trạng niêm mạc vùng hang vị dạ dày viêm, các mạch máu vùng viêm giãn nở do ứ máu nhiều. Biểu hiện chủ yếu là đau bụng cồn cào kèm theo ợ hơi, ợ chua, có thể có cảm giác buồn nôn hoặc nôn. Trước kia bệnh dạ dày được coi là bệnh nan y và nguy hiểm nhưng mấy chục năm gần đây nhờ nội soi phát triển nên bệnh đã được điều trị hiệu quả. Để điều trị dứt điểm bệnh viêm sung huyết hang vị dạ dày, trước hết, người bệnh cần được thăm khám chuyên khoa, nội soi dạ dày để tìm nguyên nhân, đánh giá mức độ bệnh. Căn cứ trên kết quả khám, các bác sĩ sẽ đưa ra phác đồ điều trị hiệu quả nhất cho từng bệnh nhân. Điều quan trọng là bệnh nhân cần tuân thủ tuyệt đối sự chỉ dẫn của bác sĩ trong quá trình điều trị. Không được bỏ thuốc giữa chừng cũng như không được tự ý tăng giảm liều lượng thuốc mà chưa có sự đồng ý của bác sĩ. Ngoài ra, người bị viêm sung huyết hang vị dạ dày có thể sử dụng sản phẩm từ thiên nhiên như nghệ, mật ong... để hỗ trợ điều trị. Bên cạnh đó, cần có chế độ ăn uống khoa học, lành mạnh. Nên kiêng ăn các thức ăn có vị chua, cay, nóng và các loại đồ ăn nhiều dầu mỡ. Không uống rượu, bia, nước có ga. Không hút thuốc lá, thuốc lào. Hạn chế uống cà phê... Khi ăn nên ăn chậm, nhai kỹ, ăn uống điều độ đúng giờ, đủ bữa, không ăn quá no hoặc để quá đói. Và cần có chế độ tập luyện phù hợp."
4,4,"30.txt,44.txt,76.txt,83.txt",1432,"Câu trả lời của bác sĩ: Chào bạn,mình xin trả lời câu hỏi của bạn như sau Như bạn đã mô tả, trường hợp này bạn thuộc MÀY đay VÔ CĂN. Chúng tôi không tìm được nguyên nhân gây bệnh. Đây là tình trạng hay gặp nhất của MÀY đay MẠN. Tổ thương mô bệnh học chủ yếu là tình trạng xâm nhập của tế bào một nhân kết hợp với bạch huyết T và đại thực bào. Các loại tiền thưởng khó quan sát trên kính hiển thị vi quang học thông thường cần xem trên kính hiển thị vi điện tử. Các tế bào cột sống tăng lượng hạ bì với các mức độ thoát ra khác nhau cũng được quan sát. Quảng cáo quảng cáo thiết bị thương mại miễn phí dịch sinh học không tìm thấy hình ảnh giảm phức tạp, bổ sung hay sợi fibrin. Đối với bệnh lý mày đay vô căn, để lâu thường không có biến chứng gì nặng, chủ yếu bệnh làm ảnh hưởng tới chất lượng cuộc sống. Bạn đay vô căn hộ là một bệnh mạn tính, việc điều trị phải dài và liên tục. Quá giá trị chỉ là giấy chứng nhận. Điều trị phụ thuộc vào mức độ nghiêm trọng và nền tảng có liên kết. Cần lưu ý cân bằng giữa hiệu quả kiểm soát triệu chứng và những tác hại gây độc của liệu pháp điều trị. *************** có thể hệ sau không gây buồn ngủ là đơn hàng đầu sau đó đến *************** có thể hệ 1, ********* bậc thấp cách ngày hoặc hàng ngày và giảm dần chậm 2,5 – 5mg mỗi 2-3 tuần. Nếu không được hỗ trợ hoặc chống chỉ định, xin bạn hãy đến gặp bác sĩ chuyên khoa da liễu để có phương pháp điều trị tốt nhất. Cảm ơn bạn đã gửi câu hỏi"
4,4,"14.txt,19.txt,28.txt,52.txt",585,"Dạ em có một người bạn, hiện tại bạn ấy đang bị nổi các dấu mề đay rất to và ngứa khắp người, bạn em bị nổi quanh năm luôn ạ. Những dấu mề đay nổi rất khó chịu và ngứa, được biết bạn em có từng đi chữa trị và sử dụng rất nhiều thuốc nhưng không đỡ ạ. Mẹ của bạn ấy cũng bị nên em nghỉ chắc là di truyền. Cả hai người đều không phải dị ứng do thời tiết hay thức ăn, nó có thể nổi lên mọi lúc. mọi người cho em hỏi là bệnh này là bệnh gì ạ và để lâu có bị nặng hay ảnh hưởng nghiêm trọng gì không ạ. Mọi người cho em xin ý kiến và có cách nào để chữa cho bạn không ạ. Em cảm ơn rất nhiều"
4,4,"14.txt,19.txt,28.txt,72.txt",552,"Điều trị phụ thuộc vào mức độ nặng và bệnh lý nền có liên quan. Cần lưu ý cân bằng giữa hiệu quả điều trị kiểm soát triệu chứng và những tác dụng gây độc của liệu pháp điều trị. **************** thể hệ sau không gây buồn ngủ là lựa chọn hàng đầu sau đó đến **************** thể hệ 1, corticoid liều thấp cách ngày hoặc hàng ngày và giảm liều chậm 2,5 – 5mg mỗi 2-3 tuần. Nếu không đỡ hoặc có chống chỉ định, xin bạn hãy đến với bác sĩ chuyên khoa da liễu để có phương pháp điều trị tốt nhất."
4,4,"14.txt,19.txt,28.txt,52.txt",522,"Tổn thương mô bệnh học chủ yếu là tình trạng xâm nhập của tế bào một nhân kết hợp với lympho T và đại thực bào. Các tổn thương khó quan sát trên kính hiển vi quang học thông thường mà cần xem trên kính hiển vi điện tử. Các tế bào mast tăng số lượng vùng hạ bì với các mức độ thoát bọng khác nhau được quan sát thấy. Nhuộm huỳnh quang miễn dịch tổn thương sinh thiết không thấy có hình ảnh của lắng đọng các phức hợp miễn dịch, bổ thể hay sợi fibrin."
4,4,"14.txt,19.txt,28.txt,52.txt",252,"Đối với bệnh lý mày đay vô căn, để lâu thường không có biến chứng gì nặng, chủ yếu bệnh làm ảnh hưởng tới chất lượng cuộc sống. Mày đay vô căn là một bệnh mạn tính, việc điều trị phải lâu dài và liên tục. Quá trình điều trị chỉ là điều trị triệu chứng."
4,4,"14.txt,32.txt,38.txt,54.txt",68,Thuốc trước khi nhập viện: gleevec (dừng theo chỉ dẫn sau xuất viện)
4,4,"14.txt,32.txt,38.txt,54.txt",63,Thời điểm khởi phát triệu chứng: Cực kỳ yếu kể từ khi xuất viện
4,4,"14.txt,32.txt,38.txt,54.txt",51,- Bệnh bạch cầu dòng tủy mãn tính đang dùng gleevec
4,4,"21.txt,32.txt,79.txt,90.txt",50,Chào bạn! Cảm ơn bạn đã gửi câu hỏi cho chúng tôi.
3,3,"33.txt,59.txt,60.txt",615,"Cháu năm nay 18 tuổi da rất nhiều dầu và bị mụn trứng cá từ năm lớp 8. Đến năm lớp 11 cháu đi khám da liễu, thì sau khoảng 3 tháng điều trị da cháu ít dầu hơn và dường như không còn mụn. Nhưng sau 6 tháng da cháu bắt đầu lên mụn trở lại gồm mụn ở trán, má, 2 bên quai hàm và cằm, hầu như là mụn cám và mụn đầu trắng. Cháu không biết có nên đi khám lại không vì lo ngại thuốc sẽ ảnh hưởng đến sức khoẻ sinh sản cộng thêm việc khám sau một thời gian lên lại mụn thì rất tốn kém. Mong các bác sĩ cho cháu lời khuyên về vấn đề chăm sóc da dầu mụn và làm thế nào để da hết mụn không tái phát ạ. Cháu cảm ơn các bác sĩ ạ."
3,3,"21.txt,32.txt,79.txt",474,"Trả lời câu hỏi của bạn:Bệnh thoái hóa tinh bột (hay bệnh amyloidosis) là một bệnh gây lắng đọng protein hiếm gặp và nghiêm trọng. Nguyên nhân là do một loại protein bất thường gọi là amyloid tích tụ trong các mô hoặc cơ quan. Khi lượng protein amyloid lắng đọng tăng lên, chúng sẽ phá vỡ cấu trúc và gây cản trở chức năng sinh lý của mô hoặc cơ quan. Cuối cùng, sự lắng đọng protein amyloid sẽ bắt đầu gây ra các triệu chứng và suy các cơ quan, thậm chí có thể gây tử vong."
3,3,"11.txt,29.txt,39.txt",440,"Theo như mô tả của Bạn cháu bé bị bệnh bàn chân bẹt, đây là tật bẩm sinh không ảnh hưởng nhiều đến sức khỏe. Hiện tại cháu chạy nhảy bình thường, không đau, chưa có chỉ định phẫu thuật, Tuy nhiên bạn nên cho cháu đến bệnh viện để kiểm tra đánh giá bất thường về xương, khám lâm sàng để đánh giá các thiếu hụt về phần mềm, trên cơ sở đó chúng tôi sẽ có các hướng dẫn cụ thể về tập vận động, tiên lượng về tiến triển của bệnh một cách cụ thể."
3,3,"21.txt,32.txt,73.txt",262,"Bệnh thoái hóa tinh bột là một bệnh đa hệ thống dẫn đến nhiều biểu hiện lâm sàng khác nhau, Hiện nay chưa có phương pháp điều trị tận gốc amyloidosis.Tuy nhiên, các phương pháp điều trị có thể giúp bạn kiểm soát các triệu chứng bệnh cũng như ngăn chặn tổn thương"
3,3,"41.txt,59.txt,60.txt",248,"Bạn vẫn nên đi khám lại để bác sĩ chuyên khoa tư vấn về thuốc và chăm sóc da mụn. Bạn vẫn có thể điều trị nhiều phương pháp mà không ảnh hưởng đến sức khỏe sinh sản. Chăm sóc da mụn một cách khoa học sẽ làm giảm dầu, giảm nhân mụn và có làn da đẹp."
3,3,"13.txt,16.txt,20.txt",206,"Vùng bị cắn - vết thương ở đầu và cổ, cũng như những vết thương ở các khu vực đầu mút thần kinh như ngón tay, thường có thời gian ủ bệnh ngắn hơn do khoảng cách gần hơn cho vi rút xâm nhập vào mô thần kinh."
3,3,"21.txt,32.txt,79.txt",184,Em bị Rối loạn chuyển hóa tinh bột (amyloidosis) đã lâu. Có dùng thuốc tại viện da liễu trung ương nhưng không thấy đỡ. Có cách nào chữa trị tận gốc hoặc giảm thiểu không ạ? Em cảm ơn.
3,3,"19.txt,28.txt,52.txt",166,"Như bạn đã mô tả, trường hợp này bạn thuộc MÀY ĐAY VÔ CĂN. Chúng ta không tìm được nguyên nhân gây bệnh. Đây là tình trạng hay gặp nhất của MÀY ĐAY MẠN TÍNH."
3,3,"13.txt,16.txt,20.txt",151,- 96% các trường hợp gây bệnh dại ở người tại Đông Nam Á là do chó cắn. Nơi bị chó cắn càng gần thần kinh trung ương thì nạn nhân càng phát bệnh nhanh.
3,3,"13.txt,16.txt,20.txt",144,Vi-rút dại chủ yếu được lây truyền từ nước bọt của các loài động vật bị dại sang người qua vết cắn hoặc qua vết trầy xước trên cơ thể con người.
3,3,"34.txt,43.txt,63.txt",137,"- Không có thay đổi đáng kể về triệu chứng mặc dù đã điều trị nhiễm khuẩn đường tiết niệu, vị trí không xác định và ngừng thuốc giảm đau."
3,3,"23.txt,45.txt,50.txt",121,"- Trước đây đã từng nhập viện với chẩn đoán não úng thủy, có biểu hiện tăng đau đầu , triệu chứng cải thiện khi nằm ngửa."
3,3,"13.txt,16.txt,20.txt",120,Trường hợp của bạn nên đi đến các trung tâm tiêm chủng gần nhất để kiểm tra y tế và chích ngừa bạn nhé!
3,3,"32.txt,79.txt,82.txt",107,"thêm. Tùy vào loại amyloidosis mà sẽ có phương pháp điều trị khác nhau như: Uống thuốc, hóa trị, ghép gan,…"
3,3,"23.txt,45.txt,50.txt",105,"- Đến hôm nay, bệnh nhân bị mờ mắt ở cả hai mắt, bên trái nặng hơn bên phải, tiến triển trong 2 tuần qua."
3,3,"23.txt,45.txt,50.txt",88,"- Bệnh nhân bị não úng tuỷ từ thời kỳ sơ sinh, được điều trị bằng cách đặt dẫn lưu shunt"
3,3,"23.txt,27.txt,45.txt",86,- Tăng nhãn áp so với chụp cắt lớp vi tính (ct) đầu từ [Date] (từ lần nhập viện trước)
3,3,"23.txt,45.txt,50.txt",82,- Khám nhãn khoa trong quá trình nhập viện trước đó cho thấy không có phù gai thị.
3,3,"13.txt,16.txt,20.txt",81,"Để giải đáp thắc mắc của bạn, tôi xin chia sẻ một số thông tin như sau:"
3,3,"32.txt,79.txt,82.txt",73,Do đó bạn nên tới gặp bác sĩ khám lại để có phương pháp điều trị phù hợp.
3,3,"23.txt,45.txt,50.txt",70,- Phẫu thuật đặt cảng để điều trị chứng tăng nhãn áp ở thời kỳ sơ sinh
